channel_sub,like,length,category,hour,minute,second
71900,1241.0,PT31M39S,28,0,31,39
71900,119.0,PT1H3M43S,28,1,3,43
71900,271.0,PT42M19S,28,0,42,19
71900,856.0,PT35M16S,28,0,35,16
71900,385.0,PT1H52M7S,28,1,52,7
71900,166.0,PT1H22M7S,28,1,22,7
71900,779.0,PT37M45S,28,0,37,45
71900,195.0,PT1H16M28S,28,1,16,28
71900,859.0,PT29M12S,28,0,29,12
71900,2032.0,PT26M23S,28,0,26,23
219000,188.0,PT4M58S,27,0,4,58
219000,473.0,PT18M58S,27,0,18,58
219000,355.0,PT8M4S,27,0,8,4
219000,189.0,PT16M5S,27,0,16,5
219000,170.0,PT4M31S,27,0,4,31
219000,130.0,PT9M45S,27,0,9,45
219000,146.0,PT4M58S,27,0,4,58
219000,103.0,PT26M27S,27,0,26,27
219000,156.0,PT7M6S,27,0,7,6
219000,146.0,PT35M35S,27,0,35,35
6710,29.0,PT7M45S,28,0,7,45
6710,20.0,PT59S,28,0,0,59
6710,21.0,PT7M39S,28,0,7,39
6710,26.0,PT3M36S,28,0,3,36
6710,29.0,PT26M12S,28,0,26,12
6710,39.0,PT14M59S,28,0,14,59
6710,39.0,PT34M33S,28,0,34,33
6710,64.0,PT7M17S,28,0,7,17
6710,34.0,PT14M27S,28,0,14,27
6710,79.0,PT25M3S,28,0,25,3
7760,234.0,PT1H1M40S,22,1,1,40
7760,208.0,PT27M34S,22,0,27,34
7760,1062.0,PT44M24S,22,0,44,24
7760,286.0,PT1H13M18S,22,1,13,18
73500,45828.0,PT4M45S,22,0,4,45
73500,1015.0,PT47S,22,0,0,47
73500,1144.0,PT1M35S,22,0,1,35
73500,1468.0,PT1M40S,22,0,1,40
73500,20967.0,PT4M16S,22,0,4,16
73500,5124.0,PT2M,22,0,2,0
73500,4699.0,PT1M24S,22,0,1,24
73500,1116.0,PT7M47S,22,0,7,47
73500,2405.0,PT3M53S,22,0,3,53
73500,85517.0,PT6M35S,22,0,6,35
11800,166.0,PT51M11S,23,0,51,11
11800,201.0,PT36M32S,23,0,36,32
11800,268.0,PT7M29S,23,0,7,29
11800,276.0,PT10M3S,23,0,10,3
11800,304.0,PT2M26S,23,0,2,26
11800,213.0,PT16M59S,23,0,16,59
11800,362.0,PT9M3S,23,0,9,3
11800,198.0,PT9M48S,27,0,9,48
11800,280.0,PT15M5S,23,0,15,5
11800,276.0,PT12M4S,23,0,12,4
21400,91.0,PT42S,27,0,0,42
21400,94.0,PT37S,27,0,0,37
21400,102.0,PT1M56S,27,0,1,56
21400,138.0,PT1M14S,27,0,1,14
21400,54.0,PT9M31S,27,0,9,31
21400,56.0,PT9M54S,27,0,9,54
21400,71.0,PT8M54S,27,0,8,54
21400,933.0,PT5M17S,27,0,5,17
21400,608.0,PT6M1S,1,0,6,1
21400,765.0,PT5M51S,1,0,5,51
16200,67.0,PT45M9S,27,0,45,9
16200,29.0,PT56S,27,0,0,56
16200,31.0,PT58S,27,0,0,58
16200,115.0,PT1M,27,0,1,0
16200,33.0,PT43M57S,22,0,43,57
16200,40.0,PT57M7S,22,0,57,7
15700,792.0,PT59M16S,22,0,59,16
15700,547.0,PT49M11S,22,0,49,11
15700,215.0,PT1H22M14S,22,1,22,14
15700,474.0,PT51M8S,22,0,51,8
15700,206.0,PT45M11S,22,0,45,11
15700,535.0,PT46M30S,22,0,46,30
15700,1004.0,PT41M21S,22,0,41,21
15700,635.0,PT44M11S,22,0,44,11
15700,301.0,PT1H7M15S,22,1,7,15
15700,234.0,PT40M43S,22,0,40,43
6330,38.0,PT15M40S,27,0,15,40
6330,38.0,PT13M55S,27,0,13,55
6330,689.0,PT15M20S,27,0,15,20
6330,124.0,PT17M48S,27,0,17,48
6330,71.0,PT7M44S,27,0,7,44
6330,39.0,PT11M6S,27,0,11,6
6330,57.0,PT16M19S,27,0,16,19
6330,117.0,PT13M22S,27,0,13,22
6330,140.0,PT9M24S,24,0,9,24
6330,67.0,PT40M9S,1,0,40,9
105000,2740.0,PT16M13S,22,0,16,13
105000,2320.0,PT11M40S,22,0,11,40
105000,1826.0,PT11M44S,22,0,11,44
105000,1809.0,PT13M8S,22,0,13,8
105000,3069.0,PT17M16S,22,0,17,16
105000,6078.0,PT23M18S,22,0,23,18
105000,4971.0,PT21M20S,22,0,21,20
105000,6860.0,PT15M10S,22,0,15,10
105000,6154.0,PT19M29S,22,0,19,29
105000,6318.0,PT28M44S,22,0,28,44
10100,215.0,PT3M27S,22,0,3,27
10100,95.0,PT16M51S,22,0,16,51
10100,147.0,PT22M27S,22,0,22,27
10100,246.0,PT6M8S,22,0,6,8
10100,1235.0,PT1M16S,22,0,1,16
10100,232.0,PT3M57S,22,0,3,57
1590,0.0,PT21M52S,28,0,21,52
1590,0.0,PT32M13S,28,0,32,13
1590,10.0,PT20M31S,28,0,20,31
1590,1.0,PT23M53S,28,0,23,53
1590,4.0,PT35M37S,28,0,35,37
1590,6.0,PT28M18S,28,0,28,18
1590,1.0,PT31M9S,28,0,31,9
1590,2.0,PT29M32S,28,0,29,32
1590,0.0,PT8M29S,28,0,8,29
1590,5.0,PT1H13M,28,1,13,0
139000,11586.0,PT23M3S,19,0,23,3
139000,9656.0,PT19M50S,19,0,19,50
139000,44355.0,PT20M30S,19,0,20,30
139000,25365.0,PT14M30S,19,0,14,30
139000,24185.0,PT14M39S,19,0,14,39
139000,17233.0,PT11M6S,19,0,11,6
139000,34028.0,PT13M26S,19,0,13,26
139000,15872.0,PT12M7S,19,0,12,7
139000,5495.0,PT9M58S,19,0,9,58
139000,4546.0,PT6M55S,19,0,6,55
25300,16.0,PT2M5S,27,0,2,5
25300,58.0,PT7M13S,27,0,7,13
25300,20.0,PT3M50S,27,0,3,50
25300,25.0,PT17M15S,27,0,17,15
25300,27.0,PT1H2M55S,27,1,2,55
25300,48.0,PT1H1M20S,27,1,1,20
25300,51.0,PT59M,27,0,59,0
25300,68.0,PT27M10S,27,0,27,10
25300,193.0,PT3M16S,27,0,3,16
25300,88.0,PT52M30S,27,0,52,30
3860000,14624.0,PT22M27S,2,0,22,27
3860000,32579.0,PT37M8S,2,0,37,8
3860000,19936.0,PT35M31S,2,0,35,31
3860000,37741.0,PT32M51S,2,0,32,51
3860000,29799.0,PT27M39S,2,0,27,39
3860000,41078.0,PT33M10S,2,0,33,10
3860000,90687.0,PT38M37S,2,0,38,37
3860000,24321.0,PT27M23S,2,0,27,23
3860000,33030.0,PT27M23S,2,0,27,23
3860000,48620.0,PT34M32S,2,0,34,32
802000,4181.0,PT11M46S,10,0,11,46
802000,9728.0,PT14M3S,10,0,14,3
802000,2663.0,PT26M43S,10,0,26,43
802000,25564.0,PT16M7S,10,0,16,7
802000,5694.0,PT12M40S,10,0,12,40
802000,6046.0,PT12M51S,10,0,12,51
802000,8875.0,PT14M7S,10,0,14,7
802000,3760.0,PT16M37S,10,0,16,37
802000,4869.0,PT18M42S,10,0,18,42
802000,7291.0,PT9M1S,10,0,9,1
4430,15.0,PT14M52S,24,0,14,52
4430,70.0,PT25M4S,24,0,25,4
4430,90.0,PT7M15S,24,0,7,15
1640000,389.0,PT55S,27,0,0,55
1640000,295.0,PT8M40S,27,0,8,40
1640000,422.0,PT23S,27,0,0,23
1640000,614.0,PT1M9S,27,0,1,9
1640000,726.0,PT9M18S,27,0,9,18
1640000,1069.0,PT23S,27,0,0,23
1640000,1539.0,PT1M15S,27,0,1,15
1640000,715.0,PT3M59S,27,0,3,59
1640000,386.0,PT22S,27,0,0,22
1640000,845.0,PT1M10S,27,0,1,10
11800,58.0,PT10M25S,28,0,10,25
11800,54.0,PT14M12S,28,0,14,12
11800,197.0,PT6M3S,28,0,6,3
11800,41.0,PT3M10S,28,0,3,10
11800,23.0,PT5M9S,28,0,5,9
11800,35.0,PT7M54S,28,0,7,54
11800,362.0,PT10M55S,28,0,10,55
11800,81.0,PT6M10S,28,0,6,10
11800,246.0,PT6M,28,0,6,0
11800,116.0,PT3M49S,28,0,3,49
236000,11004.0,PT12M56S,1,0,12,56
236000,6309.0,PT12M47S,1,0,12,47
236000,2244.0,PT9M26S,1,0,9,26
236000,7341.0,PT9M9S,1,0,9,9
236000,4533.0,PT8M19S,1,0,8,19
236000,8214.0,PT11M32S,1,0,11,32
